Label	Seed	Accuracy
0	Seed_1	0.6724
0	Seed_2	0.7414
0	Seed_3	0.6897
0	Seed_4	0.7931
0	Seed_5	0.8276
0	Seed_6	0.7241
0	Seed_7	0.6724
0	Seed_8	0.6379
0	Seed_9	0.8103
0	Seed_10	0.6207
0	Seed_11	0.7069
0	Seed_12	0.8276
0	Seed_13	0.6724
0	Seed_14	0.7414
0	Seed_15	0.8103
0	Seed_16	0.7241
0	Seed_17	0.7414
0	Seed_18	0.5862
0	Seed_19	0.7586
0	Seed_20	0.8448
1	Seed_1	0.7872
1	Seed_2	0.7447
1	Seed_3	0.7021
1	Seed_4	0.6383
1	Seed_5	0.6809
1	Seed_6	0.6596
1	Seed_7	0.7447
1	Seed_8	0.6596
1	Seed_9	0.5319
1	Seed_10	0.6383
1	Seed_11	0.7234
1	Seed_12	0.6596
1	Seed_13	0.7447
1	Seed_14	0.5532
1	Seed_15	0.6596
1	Seed_16	0.6170
1	Seed_17	0.7234
1	Seed_18	0.7660
1	Seed_19	0.6170
1	Seed_20	0.6596
2	Seed_1	0.6190
2	Seed_2	0.7381
2	Seed_3	0.6190
2	Seed_4	0.7143
2	Seed_5	0.7619
2	Seed_6	0.6905
2	Seed_7	0.7143
2	Seed_8	0.7619
2	Seed_9	0.7381
2	Seed_10	0.6190
2	Seed_11	0.6667
2	Seed_12	0.7381
2	Seed_13	0.6429
2	Seed_14	0.6905
2	Seed_15	0.5714
2	Seed_16	0.8095
2	Seed_17	0.7381
2	Seed_18	0.5952
2	Seed_19	0.6905
2	Seed_20	0.5238

Label	Average Accuracy	Standard Deviation
0	0.7302	0.0720
1	0.6755	0.0659
2	0.6821	0.0715
